R2,54.41,-6.43,90.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,126.02,30.61,180.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH,156.80,-15.09,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,86.65,26.95,179.60,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_USB,158.23,34.39,270.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_USB1,158.72,30.63,270.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,51.09,-4.83,180.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,52.59,-1.63,180.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,15.85,9.07,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,13.83,9.17,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,51.61,1.17,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,11.47,9.17,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,52.79,13.97,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,49.26,85.75,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,27.29,85.95,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,82.42,42.57,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,40.22,85.97,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,57.86,10.79,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,53.26,85.57,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,158.64,-9.79,180.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,50.38,-6.95,2.20,,SJ
TP1,11.66,44.87,0.00,TPTP20R,TP20R
TP10,6.44,12.35,0.00,TPTP20R,TP20R
TP11,2.99,15.55,0.00,TPTP20R,TP20R
TP12,40.74,-10.85,0.00,TPTP20R,TP20R
TP13,55.29,18.45,0.00,TPTP20R,TP20R
TP14,143.24,32.25,0.00,TPTP20R,TP20R
TP15,73.29,35.85,0.00,TPTP20R,TP20R
TP16,164.44,4.25,0.00,TPTP20R,TP20R
TP17,59.89,18.25,0.00,TPTP20R,TP20R
TP2,12.91,42.17,0.00,TPTP20R,TP20R
TP3,130.86,39.37,0.00,TPTP20R,TP20R
TP4,25.41,12.27,0.00,TPTP20R,TP20R
TP5,102.89,35.45,0.00,TPTP20R,TP20R
TP6,7.14,43.75,0.00,TPTP20R,TP20R
TP7,41.39,53.25,0.00,TPTP20R,TP20R
TP8,51.14,51.35,0.00,TPTP20R,TP20R
TP9,9.59,47.55,0.00,TPTP20R,TP20R
U1,35.22,46.36,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.00,30.04,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,85.39,34.22,90.00,DS3231SN#,SOIC127P1032X265-16N
U4,125.00,37.75,267.80,MAX17048G+T10,SON50P200X200X80-9N
