R17,23.11,76.97,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT1,122.18,34.91,0.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,148.66,-18.99,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,80.71,18.95,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,129.02,20.97,270.00,100k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,14.77,16.17,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT1,112.72,26.61,180.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH,155.30,-18.99,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,81.85,48.65,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_USB,157.43,35.59,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_USB1,151.02,31.23,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,31.41,-3.83,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,37.49,-15.73,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,49.06,85.71,0.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT1,28.69,83.85,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,94.92,42.87,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE1,59.82,84.87,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,70.26,15.19,180.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET1,36.06,78.37,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,148.55,-10.90,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,41.28,-6.75,184.10,,SJ
TP18,11.26,49.37,0.00,TPTP20R,TP20R
TP19,15.81,49.27,0.00,TPTP20R,TP20R
